,filename,device_class,width,height,filesize_kb,brightness,contrast,sharpness
68,CPNoise(11).jpg,CopyPaste+Noise,1472,2044,337.91,235.36,19.87,304.14
69,CPNoise(8).jpg,CopyPaste+Noise,1504,2084,392.87,234.06,24.66,381.01
70,CPNoise(4).jpg,CopyPaste+Noise,1472,2044,355.81,217.64,21.13,413.89
71,CPNoise(31).jpg,CopyPaste+Noise,1456,2018,317.29,229.31,19.63,269.9
72,CPNoise(27).jpg,CopyPaste+Noise,1504,2084,442.34,223.92,31.45,476.13
73,CPNoise(49).jpg,CopyPaste+Noise,1520,2098,457.2,208.19,24.17,542.72
74,CPNoise(7).jpg,CopyPaste+Noise,1488,2058,398.51,231.39,25.56,420.25
75,CPNoise(32).jpg,CopyPaste+Noise,1408,1966,345.92,235.72,30.36,376.34
76,CPNoise(24).jpg,CopyPaste+Noise,1472,2058,434.44,226.73,26.41,474.46
77,CPNoise(45).jpg,CopyPaste+Noise,1472,2044,411.4,215.76,31.97,528.78
78,CPNoise(12).jpg,CopyPaste+Noise,1488,2070,357.79,226.7,20.82,327.77
79,CPNoise(28).jpg,CopyPaste+Noise,1536,2122,458.62,228.17,29.03,382.1
80,CPNoise(29).jpg,CopyPaste+Noise,1536,2136,400.94,233.41,24.86,326.45
81,CPNoise(13).jpg,CopyPaste+Noise,1504,2070,447.84,228.9,26.85,561.75
82,CPNoise(44).jpg,CopyPaste+Noise,1456,2018,310.64,223.13,18.72,200.32
83,CPNoise(25).jpg,CopyPaste+Noise,1472,2044,454.46,226.56,27.71,529.21
84,CPNoise(33).jpg,CopyPaste+Noise,1504,2082,431.58,232.71,26.38,456.29
85,CPNoise(6).jpg,CopyPaste+Noise,1472,2044,422.24,231.27,29.98,487.75
86,CPNoise(48).jpg,CopyPaste+Noise,1504,2095,430.58,225.52,31.36,473.58
87,CPNoise(43).jpg,CopyPaste+Noise,1456,2018,395.59,219.39,23.38,360.12
88,CPNoise(14).jpg,CopyPaste+Noise,1472,2044,359.47,227.26,21.94,411.16
89,CPNoise(38).jpg,CopyPaste+Noise,1456,2018,471.9,230.17,31.91,629.17
90,CPNoise(1).jpg,CopyPaste+Noise,1504,2070,431.36,223.71,28.76,483.46
91,CPNoise(18).jpg,CopyPaste+Noise,1472,2030,465.23,231.2,34.06,528.41
92,CPNoise(34).jpg,CopyPaste+Noise,1472,2044,392.62,223.94,24.82,414.59
93,CPNoise(22).jpg,CopyPaste+Noise,1472,2032,460.83,220.12,25.85,415.12
94,CPNoise(23).jpg,CopyPaste+Noise,1440,2006,319.33,240.47,23.28,257.58
95,CPNoise(35).jpg,CopyPaste+Noise,1520,2095,444.86,225.35,26.87,627.94
96,CPNoise(19).jpg,CopyPaste+Noise,1408,1952,318.49,221.79,20.44,321.65
97,CPNoise(39).jpg,CopyPaste+Noise,1424,1980,355.74,238.61,27.4,524.02
98,CPNoise(15).jpg,CopyPaste+Noise,1504,2095,291.55,228.79,16.12,194.91
99,CPNoise(42).jpg,CopyPaste+Noise,1472,2045,304.42,223.72,18.93,198.19
100,CopyPaste(30).jpg,Copy Paste,1472,2044,470.34,210.44,22.38,346.27
101,CopyPaste(26).jpg,Copy Paste,1488,2056,546.82,228.63,27.17,366.53
102,CopyPaste(47).jpg,Copy Paste,1488,2056,452.78,234.46,23.92,341.96
103,CopyPaste(10).jpg,Copy Paste,1504,2084,516.28,232.18,25.45,477.62
104,CopyPaste(1).jpg,Copy Paste,1504,2070,571.46,223.64,28.79,471.8
105,CopyPaste(11).jpg,Copy Paste,1472,2044,441.2,235.36,19.82,284.38
106,CopyPaste(46).jpg,Copy Paste,1472,2058,469.62,225.53,20.81,276.19
107,CopyPaste(50).jpg,Copy Paste,1488,2070,439.41,211.59,19.92,311.39
108,CopyPaste(27).jpg,Copy Paste,1504,2084,579.88,223.85,31.48,456.83
109,CopyPaste(31).jpg,Copy Paste,1456,2018,412.53,229.29,19.55,250.56
110,CopyPaste(41).jpg,Copy Paste,1488,2056,455.51,245.76,27.01,424.83
111,CopyPaste(16).jpg,Copy Paste,1504,2095,381.64,228.72,16.45,183.66
112,CopyPaste(6).jpg,Copy Paste,1472,2044,564.72,231.26,29.98,481.18
113,CopyPaste(36).jpg,Copy Paste,1472,2058,482.17,230.69,21.74,340.52
114,CopyPaste(20).jpg,Copy Paste,1456,2006,493.07,223.04,23.35,348.69
115,CopyPaste(21).jpg,Copy Paste,1488,2070,613.39,217.18,34.96,527.29
116,CopyPaste(37).jpg,Copy Paste,1312,1810,408.86,244.68,26.27,616.45
117,CopyPaste(7).jpg,Copy Paste,1488,2058,518.99,231.33,25.58,392.63
118,CopyPaste(17).jpg,Copy Paste,1472,2045,579.72,234.2,32.71,471.75
119,CopyPaste(40).jpg,Copy Paste,1456,2018,484.91,209.93,20.46,261.56
120,CopyPaste(38).jpg,Copy Paste,1456,2018,627.62,230.17,31.9,638.55
121,CopyPaste(4).jpg,Copy Paste,1472,2044,469.57,217.57,21.11,405.63
122,CopyPaste(14).jpg,Copy Paste,1472,2044,463.25,227.26,21.85,375.14
123,CopyPaste(43).jpg,Copy Paste,1456,2018,519.4,219.37,23.28,318.55
124,CopyPaste(22).jpg,Copy Paste,1472,2032,611.46,220.09,25.78,397.49
125,CopyPaste(34).jpg,Copy Paste,1472,2044,533.2,223.88,24.82,391.44
126,CopyPaste(8).jpg,Copy Paste,1504,2084,512.56,234.03,24.65,371.43
127,CopyPaste(18).jpg,Copy Paste,1472,2030,631.9,231.21,34.03,513.71
128,CopyPaste(19).jpg,Copy Paste,1408,1952,409.78,221.77,20.29,279.27
129,CopyPaste(9).jpg,Copy Paste,1488,2072,484.66,235.46,25.46,445.46
130,CopyPaste(35).jpg,Copy Paste,1520,2095,579.22,225.31,26.87,622.4
131,CopyPaste(23).jpg,Copy Paste,1440,2006,421.44,240.44,23.3,244.09
132,CopyPaste(42).jpg,Copy Paste,1472,2045,397.63,223.67,18.86,182.33
133,CopyPaste(15).jpg,Copy Paste,1504,2095,373.04,228.75,16.04,174.08
134,CopyPaste(5).jpg,Copy Paste,1472,2044,492.03,230.31,26.63,350.69
135,CopyPaste(39).jpg,Copy Paste,1424,1980,472.31,238.63,27.37,500.46
136,CopyPaste(24).jpg,Copy Paste,1472,2058,572.76,226.72,26.35,460.7
137,CopyPaste(32).jpg,Copy Paste,1408,1966,480.49,235.73,30.35,368.75
138,CopyPaste(49).jpg,Copy Paste,1520,2098,603.02,208.16,24.08,480.11
139,CopyPaste(28).jpg,Copy Paste,1536,2122,601.37,228.16,28.99,367.15
140,CopyPaste(2).jpg,Copy Paste,1488,2058,440.36,217.93,19.93,312.7
141,CopyPaste(12).jpg,Copy Paste,1488,2070,465.51,226.67,20.73,295.93
142,CopyPaste(45).jpg,Copy Paste,1472,2044,553.03,215.77,31.84,494.55
143,CopyPaste(44).jpg,Copy Paste,1456,2018,405.4,223.11,18.61,181.01
144,CopyPaste(13).jpg,Copy Paste,1504,2070,597.37,228.86,26.84,550.58
145,CopyPaste(3).jpg,Copy Paste,1504,2070,517.34,220.22,21.98,424.53
146,CopyPaste(29).jpg,Copy Paste,1536,2136,518.98,233.4,24.84,298.63
147,CopyPaste(48).jpg,Copy Paste,1504,2095,571.23,225.51,31.32,464.76
148,CopyPaste(33).jpg,Copy Paste,1504,2082,571.27,232.71,26.38,448.52
149,CopyPaste(25).jpg,Copy Paste,1472,2044,600.53,226.53,27.68,515.34
150,CPInsertion(16).jpg,CopyPaste+Insertion,1504,2095,296.28,228.7,16.45,184.14
151,CPInsertion(41).jpg,CopyPaste+Insertion,1488,2056,365.2,245.66,27.08,435.79
152,CPInsertion(20).jpg,CopyPaste+Insertion,1456,2006,385.49,223.02,23.37,351.13
153,CPInsertion(36).jpg,CopyPaste+Insertion,1472,2058,371.34,230.66,21.73,340.67
154,CPInsertion(7).jpg,CopyPaste+Insertion,1488,2058,398.2,231.32,25.57,393.27
155,CPInsertion(6).jpg,CopyPaste+Insertion,1472,2044,430.54,231.25,29.97,480.95
156,CPInsertion(37).jpg,CopyPaste+Insertion,1312,1810,327.42,244.55,26.33,626.53
157,CPInsertion(21).jpg,CopyPaste+Insertion,1488,2070,483.83,217.2,34.91,529.51
158,CPInsertion(40).jpg,CopyPaste+Insertion,1456,2018,384.05,209.9,20.5,263.52
159,CPInsertion(17).jpg,CopyPaste+Insertion,1472,2045,450.96,234.12,32.74,473.74
160,CPInsertion(26).jpg,CopyPaste+Insertion,1488,2056,422.66,228.62,27.15,365.75
161,CPInsertion(30).jpg,CopyPaste+Insertion,1472,2044,364.5,210.44,22.36,346.13
162,CPInsertion(1).jpg,CopyPaste+Insertion,1504,2070,435.31,223.67,28.68,467.09
163,CPInsertion(10).jpg,CopyPaste+Insertion,1504,2084,399.44,232.19,25.4,473.89
164,CPInsertion(47).jpg,CopyPaste+Insertion,1488,2056,346.09,234.44,23.94,342.16
165,CPInsertion(50).jpg,CopyPaste+Insertion,1488,2070,348.37,211.56,19.96,311.95
166,CPInsertion(46).jpg,CopyPaste+Insertion,1472,2058,367.56,225.5,20.85,278.36
167,CPInsertion(11).jpg,CopyPaste+Insertion,1472,2044,339.76,235.34,19.84,284.13
168,CPInsertion(31).jpg,CopyPaste+Insertion,1456,2018,319.43,229.25,19.55,251.98
169,CPInsertion(27).jpg,CopyPaste+Insertion,1504,2084,457.9,223.89,31.38,451.59
170,CPInsertion(3).jpg,CopyPaste+Insertion,1504,2070,401.89,220.2,22.03,425.55
171,CPInsertion(49).jpg,CopyPaste+Insertion,1520,2098,463.25,208.18,24.03,476.22
172,CPInsertion(32).jpg,CopyPaste+Insertion,1408,1966,378.4,235.7,30.31,369.8
173,CPInsertion(24).jpg,CopyPaste+Insertion,1472,2058,440.8,226.69,26.33,459.59
174,CPInsertion(45).jpg,CopyPaste+Insertion,1472,2044,436.06,215.78,31.85,497.56
175,CPInsertion(12).jpg,CopyPaste+Insertion,1488,2070,360.36,226.65,20.73,296.7
176,CPInsertion(28).jpg,CopyPaste+Insertion,1536,2122,463.44,228.15,28.99,367.15
177,CPInsertion(29).jpg,CopyPaste+Insertion,1536,2136,399.26,233.4,24.85,299.02
178,CPInsertion(13).jpg,CopyPaste+Insertion,1504,2070,456.36,228.85,26.81,548.26
179,CPInsertion(44).jpg,CopyPaste+Insertion,1456,2018,315.07,223.1,18.66,182.18
180,CPInsertion(25).jpg,CopyPaste+Insertion,1472,2044,459.52,226.5,27.67,514.41
181,CPInsertion(33).jpg,CopyPaste+Insertion,1504,2082,436.9,232.68,26.39,448.38
182,CPInsertion(48).jpg,CopyPaste+Insertion,1504,2095,444.53,225.49,31.29,462.13
183,CPInsertion(2).jpg,CopyPaste+Insertion,1488,2058,343.57,217.89,19.97,314.57
184,CPInsertion(9).jpg,CopyPaste+Insertion,1488,2072,371.35,235.43,25.49,445.56
185,CPInsertion(43).jpg,CopyPaste+Insertion,1456,2018,399.79,219.37,23.29,318.76
186,CPInsertion(14).jpg,CopyPaste+Insertion,1472,2044,353.49,227.23,21.83,374.05
187,CPInsertion(38).jpg,CopyPaste+Insertion,1456,2018,485.26,230.13,31.92,637.65
188,CPInsertion(5).jpg,CopyPaste+Insertion,1472,2044,376.6,230.3,26.63,351.05
189,CPInsertion(18).jpg,CopyPaste+Insertion,1472,2030,492.51,231.16,34.02,514.23
190,CPInsertion(34).jpg,CopyPaste+Insertion,1472,2044,413.61,223.89,24.78,391.42
191,CPInsertion(22).jpg,CopyPaste+Insertion,1472,2032,476.09,220.06,25.81,401.16
192,CPInsertion(23).jpg,CopyPaste+Insertion,1440,2006,325.13,240.41,23.24,242.97
193,CPInsertion(35).jpg,CopyPaste+Insertion,1520,2095,448.45,225.28,26.85,620.05
194,CPInsertion(19).jpg,CopyPaste+Insertion,1408,1952,387.26,221.8,20.28,279.26
195,CPInsertion(4).jpg,CopyPaste+Insertion,1472,2044,361.39,217.57,21.1,404.05
196,CPInsertion(39).jpg,CopyPaste+Insertion,1424,1980,365.38,238.57,27.35,502.16
197,CPInsertion(15).jpg,CopyPaste+Insertion,1504,2095,290.49,228.71,16.09,176.09
198,CPInsertion(42).jpg,CopyPaste+Insertion,1472,2045,308.89,223.66,18.9,184.47
199,CPInsertion(8).jpg,CopyPaste+Insertion,1504,2084,390.54,234.05,24.6,369.74
200,Blur(5).jpg,Blur,1472,2044,353.59,230.4,26.44,338.55
201,Blur(16).jpg,Blur,1504,2095,282.71,228.8,16.32,178.53
202,Blur(41).jpg,Blur,1488,2056,343.16,245.77,26.8,411.47
203,Blur(9).jpg,Blur,1488,2072,348.79,235.49,25.36,436.75
204,Blur(36).jpg,Blur,1472,2058,348.58,230.74,21.59,329.58
205,Blur(20).jpg,Blur,1456,2006,357.53,223.12,23.24,340.19
206,Blur(21).jpg,Blur,1488,2070,430.22,217.28,34.8,513.25
207,Blur(37).jpg,Blur,1312,1810,323.51,244.66,26.11,607.79
208,Blur(8).jpg,Blur,1504,2084,375.02,234.11,24.5,361.07
209,Blur(40).jpg,Blur,1456,2018,356.4,209.95,20.42,261.17
210,Blur(17).jpg,Blur,1472,2045,408.17,234.24,32.57,460.27
211,Blur(4).jpg,Blur,1472,2044,343.85,217.66,20.99,392.95
212,Blur(30).jpg,Blur,1472,2044,340.6,210.51,22.28,338.77
213,Blur(26).jpg,Blur,1488,2056,395.79,228.74,26.94,350.72
214,Blur(3).jpg,Blur,1504,2070,380.36,220.26,21.94,415.1
215,Blur(10).jpg,Blur,1504,2084,371.29,232.27,25.31,465.68
216,Blur(47).jpg,Blur,1488,2056,327.78,234.53,23.79,331.96
217,Blur(46).jpg,Blur,1472,2058,341.86,225.58,20.74,270.5
218,Blur(11).jpg,Blur,1472,2044,321.17,235.4,19.72,277.53
219,Blur(2).jpg,Blur,1488,2058,332.4,217.99,19.89,306.94
220,Blur(50).jpg,Blur,1488,2070,335.12,211.65,19.87,305.08
221,Blur(27).jpg,Blur,1504,2084,423.9,223.98,31.26,439.34
222,Blur(31).jpg,Blur,1456,2018,303.44,229.35,19.46,245.73
223,Blur(24).jpg,Blur,1472,2058,413.96,226.79,26.24,447.24
224,Blur(32).jpg,Blur,1408,1966,337.79,235.78,30.2,357.37
225,Blur(49).jpg,Blur,1520,2098,434.54,208.24,23.98,467.92
226,Blur(28).jpg,Blur,1536,2122,434.65,228.22,28.91,358.74
227,Blur(45).jpg,Blur,1472,2044,389.93,215.85,31.72,480.88
228,Blur(12).jpg,Blur,1488,2070,340.66,226.74,20.69,290.86
229,Blur(1).jpg,Blur,1504,2070,413.19,223.76,28.59,453.42
230,Blur(13).jpg,Blur,1504,2070,434.25,228.95,26.74,534.48
231,Blur(44).jpg,Blur,1456,2018,293.34,223.15,18.38,174.29
232,Blur(29).jpg,Blur,1536,2136,378.13,233.48,24.71,290.28
233,Blur(48).jpg,Blur,1504,2095,414.48,225.58,31.24,450.8
234,Blur(33).jpg,Blur,1504,2082,413.18,232.74,26.3,437.93
235,Blur(25).jpg,Blur,1472,2044,432.82,226.6,27.58,500.18
236,Blur(38).jpg,Blur,1456,2018,467.66,230.23,31.79,611.36
237,Blur(43).jpg,Blur,1456,2018,378.62,219.41,23.21,313.69
238,Blur(14).jpg,Blur,1472,2044,338.99,227.34,21.69,360.7
239,Blur(7).jpg,Blur,1488,2058,372.87,231.42,25.44,383
240,Blur(22).jpg,Blur,1472,2032,438.67,220.15,25.76,393.22
241,Blur(34).jpg,Blur,1472,2044,382.97,223.99,24.66,380.58
242,Blur(18).jpg,Blur,1472,2030,443.54,231.27,33.81,499.64
243,Blur(19).jpg,Blur,1408,1952,299.93,221.86,20.1,269.9
244,Blur(35).jpg,Blur,1520,2095,445.4,225.38,26.69,590.05
245,Blur(23).jpg,Blur,1440,2006,302.89,240.52,23.15,238.52
246,Blur(6).jpg,Blur,1472,2044,401.96,231.31,29.84,466.6
247,Blur(15).jpg,Blur,1504,2095,278.45,228.81,15.93,169.63
248,Blur(42).jpg,Blur,1472,2045,290.04,223.73,18.69,176.36
249,Blur(39).jpg,Blur,1424,1980,346.17,238.71,27.15,479.77
250,CPBlur(48).jpg,CopyPaste+Blur,1504,2095,428.1,225.51,31.33,459.1
251,CPBlur(33).jpg,CopyPaste+Blur,1504,2082,428.92,232.72,26.33,441.02
252,CPBlur(25).jpg,CopyPaste+Blur,1472,2044,458.2,226.56,27.68,509.47
253,CPBlur(13).jpg,CopyPaste+Blur,1504,2070,444.47,228.91,26.77,541.2
254,CPBlur(44).jpg,CopyPaste+Blur,1456,2018,308.03,223.13,18.63,179.49
255,CPBlur(29).jpg,CopyPaste+Blur,1536,2136,394.89,233.43,24.76,292.43
256,CPBlur(28).jpg,CopyPaste+Blur,1536,2122,455.65,228.18,28.98,363.35
257,CPBlur(1).jpg,CopyPaste+Blur,1504,2070,428.37,223.72,28.69,460.23
258,CPBlur(45).jpg,CopyPaste+Blur,1472,2044,405.8,215.79,31.79,488.56
259,CPBlur(12).jpg,CopyPaste+Blur,1488,2070,354.01,226.71,20.73,293.51
260,CPBlur(24).jpg,CopyPaste+Blur,1472,2058,431.98,226.74,26.35,455.09
261,CPBlur(32).jpg,CopyPaste+Blur,1408,1966,343.89,235.73,30.31,361.69
262,CPBlur(49).jpg,CopyPaste+Blur,1520,2098,449.21,208.2,24.03,475.48
263,CPBlur(15).jpg,CopyPaste+Blur,1504,2095,288.68,228.78,16.06,172.96
264,CPBlur(42).jpg,CopyPaste+Blur,1472,2045,302.47,223.67,18.85,179.9
265,CPBlur(6).jpg,CopyPaste+Blur,1472,2044,420.45,231.27,29.97,475.43
266,CPBlur(39).jpg,CopyPaste+Blur,1424,1980,349.65,238.69,27.25,483.53
267,CPBlur(19).jpg,CopyPaste+Blur,1408,1952,313.5,221.82,20.3,277.28
268,CPBlur(35).jpg,CopyPaste+Blur,1520,2095,441.05,225.34,26.81,598.72
269,CPBlur(23).jpg,CopyPaste+Blur,1440,2006,316.92,240.46,23.22,239.48
270,CPBlur(22).jpg,CopyPaste+Blur,1472,2032,458.14,220.13,25.81,396.22
271,CPBlur(34).jpg,CopyPaste+Blur,1472,2044,401,223.95,24.79,387.77
272,CPBlur(18).jpg,CopyPaste+Blur,1472,2030,462.24,231.22,33.98,508.35
273,CPBlur(38).jpg,CopyPaste+Blur,1456,2018,469.85,230.21,31.85,616.54
274,CPBlur(7).jpg,CopyPaste+Blur,1488,2058,386.86,231.41,25.47,386.17
275,CPBlur(43).jpg,CopyPaste+Blur,1456,2018,390.87,219.4,23.31,318.41
276,CPBlur(14).jpg,CopyPaste+Blur,1472,2044,352.21,227.32,21.79,367.24
277,CPBlur(4).jpg,CopyPaste+Blur,1472,2044,354.41,217.62,21.09,403.18
278,CPBlur(40).jpg,CopyPaste+Blur,1456,2018,371.15,209.93,20.54,265.92
279,CPBlur(17).jpg,CopyPaste+Blur,1472,2045,423.78,234.16,32.69,466.76
280,CPBlur(21).jpg,CopyPaste+Blur,1488,2070,448.48,217.2,34.89,520.08
281,CPBlur(8).jpg,CopyPaste+Blur,1504,2084,383.5,234.07,24.56,364.17
282,CPBlur(37).jpg,CopyPaste+Blur,1312,1810,317.06,244.5,26.25,603.36
283,CPBlur(36).jpg,CopyPaste+Blur,1472,2058,363.76,230.7,21.74,334.49
284,CPBlur(9).jpg,CopyPaste+Blur,1488,2072,360.23,235.47,25.44,441.44
285,CPBlur(20).jpg,CopyPaste+Blur,1456,2006,373.46,223.09,23.34,345.32
286,CPBlur(16).jpg,CopyPaste+Blur,1504,2095,294.42,228.78,16.42,181.78
287,CPBlur(41).jpg,CopyPaste+Blur,1488,2056,345.42,245.63,26.92,410.97
288,CPBlur(5).jpg,CopyPaste+Blur,1472,2044,369.9,230.39,26.57,345.38
289,CPBlur(27).jpg,CopyPaste+Blur,1504,2084,438.91,223.92,31.4,449.58
290,CPBlur(31).jpg,CopyPaste+Blur,1456,2018,314.53,229.32,19.56,250.08
291,CPBlur(2).jpg,CopyPaste+Blur,1488,2058,334.74,217.97,19.93,311.98
292,CPBlur(46).jpg,CopyPaste+Blur,1472,2058,357.13,225.56,20.81,273.32
293,CPBlur(11).jpg,CopyPaste+Blur,1472,2044,334.21,235.37,19.78,279.86
294,CPBlur(50).jpg,CopyPaste+Blur,1488,2070,338.95,211.63,19.9,308.71
295,CPBlur(10).jpg,CopyPaste+Blur,1504,2084,384.27,232.23,25.38,473.42
296,CPBlur(47).jpg,CopyPaste+Blur,1488,2056,339.48,234.51,23.87,335.53
297,CPBlur(3).jpg,CopyPaste+Blur,1504,2070,391.13,220.23,22.03,425.27
298,CPBlur(30).jpg,CopyPaste+Blur,1472,2044,359.42,210.48,22.36,343.16
299,CPBlur(26).jpg,CopyPaste+Blur,1488,2056,416.74,228.67,27.14,360.67
300,Noise(35).jpg,Noise,1520,2095,448.11,225.36,26.87,651.62
301,Noise(23).jpg,Noise,1440,2006,310.77,240.48,23.29,291.15
302,Noise(6).jpg,Noise,1472,2044,408.5,231.29,29.98,507
303,Noise(19).jpg,Noise,1408,1952,306.82,221.85,20.34,326.27
304,Noise(39).jpg,Noise,1424,1980,352.74,238.68,27.34,521.46
305,Noise(42).jpg,Noise,1472,2045,300.81,223.71,18.99,253.55
306,Noise(15).jpg,Noise,1504,2095,288.12,228.79,16.18,234.92
307,Noise(14).jpg,Noise,1472,2044,345.68,227.33,21.84,407.29
308,Noise(43).jpg,Noise,1456,2018,383,219.4,23.41,396.38
309,Noise(38).jpg,Noise,1456,2018,467.04,230.2,31.91,646.93
310,Noise(18).jpg,Noise,1472,2030,453.55,231.23,34.05,566.34
